i_connect_no,i_site_code,i_unit_num,i_giku_num,c_tag_no,c_tag_desc,c_category1,c_category2,c_category3,d_disp_range_lower,d_disp_range_upper,c_unit,i_decimal_place,i_signal_type,c_unit2,d_cnv1,d_cnv2,i_cdbi,c_point_id,c_retu text,i_off_set,i_kind_num,i_auto_flag,d_dead_band,i_xid bigint
1,1,2,0,SB_SPARE_3848,SPARE_3848,,0,,0,1,,0,1,,1,1,3848,SB_010200010000003848,data47,0,1,1,0,3848
1,1,2,0,SB_SPARE_3849,SPARE_3849,,0,,0,1,,0,1,,1,1,3849,SB_010200010000003849,data48,0,1,1,0,3849
1,1,2,0,SB_SPARE_3850,SPARE_3850,,0,,0,1,,0,1,,1,1,3850,SB_010200010000003850,data49,0,1,1,0,3850
1,1,2,0,SB_SPARE_3851,SPARE_3851,,0,,0,1,,0,1,,1,1,3851,SB_010200010000003851,data50,0,1,1,0,3851
1,1,2,0,SB_SPARE_3852,SPARE_3852,,0,,0,1,,0,1,,1,1,3852,SB_010200010000003852,data51,0,1,1,0,3852
1,1,2,0,SB_SPARE_3853,SPARE_3853,,0,,0,1,,0,1,,1,1,3853,SB_010200010000003853,data52,0,1,1,0,3853
1,1,2,0,SB_SPARE_3854,SPARE_3854,,0,,0,1,,0,1,,1,1,3854,SB_010200010000003854,data53,0,1,1,0,3854
1,1,2,0,SB_SPARE_3855,SPARE_3855,,0,,0,1,,0,1,,1,1,3855,SB_010200010000003855,data54,0,1,1,0,3855
1,1,2,0,SB_SPARE_3856,SPARE_3856,,0,,0,1,,0,1,,1,1,3856,SB_010200010000003856,data55,0,1,1,0,3856
1,1,2,0,SB_SPARE_3857,SPARE_3857,,0,,0,1,,0,1,,1,1,3857,SB_010200010000003857,data56,0,1,1,0,3857
1,1,2,0,SB_SPARE_3858,SPARE_3858,,0,,0,1,,0,1,,1,1,3858,SB_010200010000003858,data57,0,1,1,0,3858
1,1,2,0,SB_SPARE_3859,SPARE_3859,,0,,0,1,,0,1,,1,1,3859,SB_010200010000003859,data58,0,1,1,0,3859
1,1,2,0,SB_SPARE_3860,SPARE_3860,,0,,0,1,,0,1,,1,1,3860,SB_010200010000003860,data59,0,1,1,0,3860
1,1,2,0,SB_SPARE_3861,SPARE_3861,,0,,0,1,,0,1,,1,1,3861,SB_010200010000003861,data60,0,1,1,0,3861
1,1,2,0,SB_SPARE_3862,SPARE_3862,,0,,0,1,,0,1,,1,1,3862,SB_010200010000003862,data61,0,1,1,0,3862
1,1,2,0,SB_SPARE_3863,SPARE_3863,,0,,0,1,,0,1,,1,1,3863,SB_010200010000003863,data62,0,1,1,0,3863
1,1,2,0,SB_SPARE_3864,SPARE_3864,,0,,0,1,,0,1,,1,1,3864,SB_010200010000003864,data63,0,1,1,0,3864
1,1,2,0,SB_SPARE_3865,SPARE_3865,,0,,0,1,,0,1,,1,1,3865,SB_010200010000003865,data64,0,1,1,0,3865
1,1,2,0,SB_SPARE_3866,SPARE_3866,,0,,0,1,,0,1,,1,1,3866,SB_010200010000003866,data65,0,1,1,0,3866
1,1,2,0,SB_SPARE_3867,SPARE_3867,,0,,0,1,,0,1,,1,1,3867,SB_010200010000003867,data66,0,1,1,0,3867
1,1,2,0,SB_SPARE_3868,SPARE_3868,,0,,0,1,,0,1,,1,1,3868,SB_010200010000003868,data67,0,1,1,0,3868
1,1,2,0,SB_SPARE_3869,SPARE_3869,,0,,0,1,,0,1,,1,1,3869,SB_010200010000003869,data68,0,1,1,0,3869
1,1,2,0,SB_SPARE_3870,SPARE_3870,,0,,0,1,,0,1,,1,1,3870,SB_010200010000003870,data69,0,1,1,0,3870
1,1,2,0,SB_SPARE_3871,SPARE_3871,,0,,0,1,,0,1,,1,1,3871,SB_010200010000003871,data70,0,1,1,0,3871
1,1,2,0,SB_SPARE_3872,SPARE_3872,,0,,0,1,,0,1,,1,1,3872,SB_010200010000003872,data71,0,1,1,0,3872
1,1,2,0,SB_SPARE_3873,SPARE_3873,,0,,0,1,,0,1,,1,1,3873,SB_010200010000003873,data72,0,1,1,0,3873
1,1,2,0,SB_SPARE_3874,SPARE_3874,,0,,0,1,,0,1,,1,1,3874,SB_010200010000003874,data73,0,1,1,0,3874
1,1,2,0,SB_SPARE_3875,SPARE_3875,,0,,0,1,,0,1,,1,1,3875,SB_010200010000003875,data74,0,1,1,0,3875
1,1,2,0,SB_SPARE_3876,SPARE_3876,,0,,0,1,,0,1,,1,1,3876,SB_010200010000003876,data75,0,1,1,0,3876
1,1,2,0,SB_SPARE_3877,SPARE_3877,,0,,0,1,,0,1,,1,1,3877,SB_010200010000003877,data76,0,1,1,0,3877
1,1,2,0,SB_SPARE_3878,SPARE_3878,,0,,0,1,,0,1,,1,1,3878,SB_010200010000003878,data77,0,1,1,0,3878
1,1,2,0,SB_SPARE_3879,SPARE_3879,,0,,0,1,,0,1,,1,1,3879,SB_010200010000003879,data78,0,1,1,0,3879
1,1,2,0,SB_SPARE_3880,SPARE_3880,,0,,0,1,,0,1,,1,1,3880,SB_010200010000003880,data79,0,1,1,0,3880
