No,PID,ItemID,Description,Type,Unit,DP,disp_lower,disp_upper,dcsTagNo,valid,sufixx,org_TagNo(cut SB_/.PVor.OUT),-suffix,"follows are 0,_STATUS or SPARE_ or _SPARE or _STS or -SP-",raw&exist -OUT=0,not in ABJ=0.(vlookup ABJ_DCS_IO)
29,SB_010200000000000029,SB_00ADA40CE100ZQ01-SVS.PV,150kv SS (STG   BAY) WH SV SV,DOUBLE,,,0,100,00ADA40CE100ZQ01-SVS,1,.PV,00ADA40CE100ZQ01-SVS,-SVS,00ADA40CE100ZQ01-SVS,-1,00ADA40CE100ZQ01-SVS
30,SB_010200000000000030,SB_110101_DI03_STATUS.PV,110101_DI03_STATUS,DOUBLE,,,-2,2,110101_DI03_STATUS,0,.PV,110101_DI03_STATUS,,0,-1,110101_DI03_STATUS
31,SB_010200000000000031,SB_110102_DI03_STATUS.PV,110102_DI03_STATUS,DOUBLE,,,-2,2,110102_DI03_STATUS,0,.PV,110102_DI03_STATUS,,0,-1,110102_DI03_STATUS
32,SB_010200000000000032,SB_110103_DO01_STATUS.PV,110103_DO01_STATUS,DOUBLE,,,-2,2,110103_DO01_STATUS,0,.PV,110103_DO01_STATUS,,0,-1,110103_DO01_STATUS
33,SB_010200000000000033,SB_110104_DI03_STATUS.PV,110104_DI03_STATUS,DOUBLE,,,-2,2,110104_DI03_STATUS,0,.PV,110104_DI03_STATUS,,0,-1,110104_DI03_STATUS
34,SB_010200000000000034,SB_110105_DI03_STATUS.PV,110105_DI03_STATUS,DOUBLE,,,-2,2,110105_DI03_STATUS,0,.PV,110105_DI03_STATUS,,0,-1,110105_DI03_STATUS
35,SB_010200000000000035,SB_110106_DO01_STATUS.PV,110106_DO01_STATUS,DOUBLE,,,-2,2,110106_DO01_STATUS,0,.PV,110106_DO01_STATUS,,0,-1,110106_DO01_STATUS
36,SB_010200000000000036,SB_110107_DO01_STATUS.PV,110107_DO01_STATUS,DOUBLE,,,-2,2,110107_DO01_STATUS,0,.PV,110107_DO01_STATUS,,0,-1,110107_DO01_STATUS
37,SB_010200000000000037,SB_110201_DI03_STATUS.PV,110201_DI03_STATUS,DOUBLE,,,-2,2,110201_DI03_STATUS,0,.PV,110201_DI03_STATUS,,0,-1,110201_DI03_STATUS
38,SB_010200000000000038,SB_110202_DI03_STATUS.PV,110202_DI03_STATUS,DOUBLE,,,-2,2,110202_DI03_STATUS,0,.PV,110202_DI03_STATUS,,0,-1,110202_DI03_STATUS
39,SB_010200000000000039,SB_110203_DO01_STATUS.PV,110203_DO01_STATUS,DOUBLE,,,-2,2,110203_DO01_STATUS,0,.PV,110203_DO01_STATUS,,0,-1,110203_DO01_STATUS
40,SB_010200000000000040,SB_110204_DI03_STATUS.PV,110204_DI03_STATUS,DOUBLE,,,-2,2,110204_DI03_STATUS,0,.PV,110204_DI03_STATUS,,0,-1,110204_DI03_STATUS
41,SB_010200000000000041,SB_110205_DO01_STATUS.PV,110205_DO01_STATUS,DOUBLE,,,-2,2,110205_DO01_STATUS,0,.PV,110205_DO01_STATUS,,0,-1,110205_DO01_STATUS
42,SB_010200000000000042,SB_120101_AI02_STATUS.PV,120101_AI02_STATUS,DOUBLE,,,0,100,120101_AI02_STATUS,0,.PV,120101_AI02_STATUS,,0,-1,120101_AI02_STATUS
43,SB_010200000000000043,SB_120102_DI03_STATUS.PV,120102_DI03_STATUS,DOUBLE,,,0,100,120102_DI03_STATUS,0,.PV,120102_DI03_STATUS,,0,-1,120102_DI03_STATUS
44,SB_010200000000000044,SB_120103_DI03_STATUS.PV,120103_DI03_STATUS,DOUBLE,,,0,100,120103_DI03_STATUS,0,.PV,120103_DI03_STATUS,,0,-1,120103_DI03_STATUS
45,SB_010200000000000045,SB_120104_DI03_STATUS.PV,120104_DI03_STATUS,DOUBLE,,,0,100,120104_DI03_STATUS,0,.PV,120104_DI03_STATUS,,0,-1,120104_DI03_STATUS
46,SB_010200000000000046,SB_120105_DI03_STATUS.PV,120105_DI03_STATUS,DOUBLE,,,0,100,120105_DI03_STATUS,0,.PV,120105_DI03_STATUS,,0,-1,120105_DI03_STATUS
47,SB_010200000000000047,SB_120106_DI03_STATUS.PV,120106_DI03_STATUS,DOUBLE,,,0,100,120106_DI03_STATUS,0,.PV,120106_DI03_STATUS,,0,-1,120106_DI03_STATUS
48,SB_010200000000000048,SB_120107_DO01_STATUS.PV,120107_DO01_STATUS,DOUBLE,,,0,100,120107_DO01_STATUS,0,.PV,120107_DO01_STATUS,,0,-1,120107_DO01_STATUS
49,SB_010200000000000049,SB_120108_DO01_STATUS.PV,120108_DO01_STATUS,DOUBLE,,,20,20,120108_DO01_STATUS,0,.PV,120108_DO01_STATUS,,0,-1,120108_DO01_STATUS
50,SB_010200000000000050,SB_120109_DO01_STATUS.PV,120109_DO01_STATUS,DOUBLE,,,0,100,120109_DO01_STATUS,0,.PV,120109_DO01_STATUS,,0,-1,120109_DO01_STATUS
51,SB_010200000000000051,SB_120201_AI02_STATUS.PV,120201_AI02_STATUS,DOUBLE,,,0,100,120201_AI02_STATUS,0,.PV,120201_AI02_STATUS,,0,-1,120201_AI02_STATUS
52,SB_010200000000000052,SB_120202_DI03_STATUS.PV,120202_DI03_STATUS,DOUBLE,,,0,100,120202_DI03_STATUS,0,.PV,120202_DI03_STATUS,,0,-1,120202_DI03_STATUS
53,SB_010200000000000053,SB_120203_DI03_STATUS.PV,120203_DI03_STATUS,DOUBLE,,,20,22,120203_DI03_STATUS,0,.PV,120203_DI03_STATUS,,0,-1,120203_DI03_STATUS
54,SB_010200000000000054,SB_120204_DI03_STATUS.PV,120204_DI03_STATUS,DOUBLE,,,0,100,120204_DI03_STATUS,0,.PV,120204_DI03_STATUS,,0,-1,120204_DI03_STATUS
