Trend,2020091763.csv,2020/09/18,13:33:06
,TagNo,Description,Unit,Dp
1009,C22_HC_PC_ET,C22 HC800 PREVIOUS CYCLE ELAPSE TIME,,
1010,C22_HC_PROC_UT,C22 HC800 PROCESSOR UTILISATION,,
1011,C30_HC_CC_ET,C30 HC800 CURRENT CYCLE ELAPSE TIME,,
1012,C30_HC_FREETIME,C30 HC800 FREETIME,,
1013,C30_HC_PC_ET,C30 HC800 PREVIOUS CYCLE ELAPSE TIME,,
1014,C30_HC_PROC_UT,C30 HC800 PROCESSOR UTILISATION,,
1015,C32_HC_CC_ET,C32 HC800 CURRENT CYCLE ELAPSE TIME,,
1016,C32_HC_FREETIME,C32 HC800 FREETIME,,
1017,C32_HC_PC_ET,C32 HC800 PREVIOUS CYCLE ELAPSE TIME,,
1018,C32_HC_PROC_UT,C32 HC800 PROCESSOR UTILISATION,,
1019,C40_HC_CC_ET,C40 HC800 CURRENT CYCLE ELAPSE TIME,,
1020,C40_HC_FREETIME,C40 HC800 FREETIME,,
1021,C40_HC_PC_ET,C40 HC800 PREVIOUS CYCLE ELAPSE TIME,,
1022,C40_HC_PROC_UT,C40 HC800 PROCESSOR UTILISATION,,
1023,C50_HC_CC_ET,C50 HC800 CURRENT CYCLE ELAPSE T,,
1024,C50_HC_FREETIME,C50 HC800 FREETIME,,

Date,Time,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024
2020/09/17,04:30:00,0.002832493744790554,1.378870964050293,0.0023990010377019644,100,0.0023990010377019644,0.6877856850624084,0.002709329593926668,100,0.002513347426429391,0.8191988468170166,0.0007645855657756329,100,0.0007645855657756329,0.3685256838798523,0.0005327636608853936,100
2020/09/17,04:30:10,0.0032449376303702593,0.6585448384284973,0.001964086201041937,100,0.001964086201041937,0.5382819175720215,0.002709329593926668,100,0.002513347426429391,1.7701520919799805,0.0007645855657756329,100,0.0007645855657756329,0.3685256838798523,0.0005327636608853936,100
2020/09/17,04:30:20,0.0032449376303702593,1.1663343906402588,0.001964086201041937,100,0.001964086201041937,0.5382819175720215,0.003902003401890397,100,0.0022163880057632923,0.8585658669471741,0.0012993403943255544,100,0.0012993403943255544,0.28250983357429504,0.0005327636608853936,100
2020/09/17,04:30:30,0.0032449376303702593,0.5760560631752014,0.001964086201041937,100,0.001964086201041937,0.5966498255729675,0.003902003401890397,100,0.0022163880057632923,1.0346935987472534,0.0012993403943255544,100,0.0012993403943255544,0.28250983357429504,0.0008376876940019429,100
2020/09/17,04:30:40,0.0032449376303702593,0.7644718289375305,0.001964086201041937,100,0.001964086201041937,0.5966498255729675,0.003902003401890397,100,0.0022163880057632923,1.0346935987472534,0.0012993403943255544,100,0.0012993403943255544,0.28250983357429504,0.0008376876940019429,100
2020/09/17,04:30:50,0.0032449376303702593,0.7752806544303894,0.001964086201041937,100,0.001964086201041937,1.1977369785308838,0.003902003401890397,100,0.0022163880057632923,1.0663238763809204,0.0012993403943255544,100,0.0012993403943255544,0.3360990881919861,0.0008376876940019429,100
2020/09/17,04:31:00,0.0032449376303702593,0.9832661747932434,0.001964086201041937,100,0.001964086201041937,0.7571900486946106,0.003902003401890397,100,0.0022163880057632923,0.8267081379890442,0.0012993403943255544,100,0.0012993403943255544,0.5736667513847351,0.0008376876940019429,100
2020/09/17,04:31:10,0.001304460340179503,0.9477675557136536,0.001771233044564724,100,0.001771233044564724,0.9800803661346436,0.003902003401890397,100,0.0022163880057632923,0.7526389360427856,0.0012993403943255544,100,0.0012993403943255544,0.5736667513847351,0.0008376876940019429,100
2020/09/17,04:31:20,0.001304460340179503,0.990775465965271,0.001771233044564724,100,0.001771233044564724,1.0876002311706543,0.003902003401890397,100,0.0022163880057632923,0.9180715680122375,0.0012993403943255544,100,0.0012993403943255544,0.5736667513847351,0.0008376876940019429,100
2020/09/17,04:31:30,0.001304460340179503,0.7517287135124207,0.001771233044564724,100,0.001771233044564724,0.9358208775520325,0.003951496444642544,100,0.002458734204992652,0.9180715680122375,0.001921135000884533,100,0.001921135000884533,0.5736667513847351,0.0007776700076647103,100
2020/09/17,04:31:40,0.001304460340179503,0.5781040787696838,0.001771233044564724,100,0.001771233044564724,0.9291080236434937,0.003951496444642544,100,0.002458734204992652,0.7552558183670044,0.001921135000884533,100,0.001921135000884533,0.5736667513847351,0.0007776700076647103,100
2020/09/17,04:31:50,0.001304460340179503,0.5781040787696838,0.001771233044564724,100,0.001771233044564724,1.1423273086547852,0.003951496444642544,100,0.002458734204992652,0.7692504525184631,0.001921135000884533,100,0.001921135000884533,0.5736667513847351,0.0007776700076647103,100
2020/09/17,04:32:00,0.001304460340179503,0.5703672170639038,0.001771233044564724,100,0.001771233044564724,1.1423273086547852,0.003951496444642544,100,0.002458734204992652,0.9997639060020447,0.001921135000884533,100,0.001921135000884533,0.5533005595207214,0.0007776700076647103,100
2020/09/17,04:32:10,0.0021159793250262737,1.0521016120910645,0.0019157306523993611,100,0.0019157306523993611,1.1423273086547852,0.003951496444642544,100,0.002458734204992652,0.9644928574562073,0.001921135000884533,100,0.001921135000884533,0.5533005595207214,0.0007776700076647103,100
2020/09/17,04:32:20,0.0021159793250262737,0.9286528825759888,0.0019157306523993611,100,0.0019157306523993611,0.5852720737457275,0.003951496444642544,100,0.002458734204992652,1.3841047286987305,0.001921135000884533,100,0.001921135000884533,0.5533005595207214,0.0007776700076647103,100
2020/09/17,04:32:30,0.0021159793250262737,1.0701922178268433,0.0019157306523993611,100,0.0019157306523993611,1.0631380081176758,0.0034972394350916147,100,0.005372010171413422,1.1939822435379028,0.0007654388900846243,100,0.0007654388900846243,0.5533005595207214,0.00036977726267650723,100
2020/09/17,04:32:40,0.0021159793250262737,0.8213605880737305,0.0019157306523993611,100,0.0019157306523993611,1.0631380081176758,0.0034972394350916147,100,0.005372010171413422,1.1293566226959229,0.0007654388900846243,100,0.0007654388900846243,0.5363476872444153,0.00036977726267650723,100
2020/09/17,04:32:50,0.0021159793250262737,0.8859862685203552,0.0019157306523993611,100,0.0019157306523993611,1.0631380081176758,0.0034972394350916147,100,0.005372010171413422,0.9095382690429688,0.0007654388900846243,100,0.0007654388900846243,0.5363476872444153,0.00036977726267650723,100
2020/09/17,04:33:00,0.0021159793250262737,0.567181408405304,0.0019157306523993611,100,0.0019157306523993611,0.9895239472389221,0.0034972394350916147,100,0.005372010171413422,0.9894101619720459,0.0007654388900846243,100,0.0007654388900846243,0.5363476872444153,0.00036977726267650723,100
2020/09/17,04:33:10,0.0021159793250262737,1.3522469997406006,0.0014939000830054283,100,0.0014939000830054283,0.9895239472389221,0.0034972394350916147,100,0.005372010171413422,0.9894101619720459,0.0007654388900846243,100,0.0007654388900846243,0.5363476872444153,0.00036977726267650723,100
2020/09/17,04:33:20,0.0018113396363332868,0.5596721172332764,0.0014939000830054283,100,0.0014939000830054283,0.6742461323738098,0.0034972394350916147,100,0.005372010171413422,0.9144306778907776,0.0007654388900846243,100,0.0007654388900846243,0.45078691840171814,0.00036977726267650723,100
2020/09/17,04:33:30,0.0018113396363332868,1.0234296321868896,0.0014939000830054283,100,0.0014939000830054283,0.7396683096885681,0.0026751961559057236,100,0.002323338994756341,1.083731770515442,0.0009173320140689611,100,0.0009173320140689611,0.532137930393219,0.00036977726267650723,100
2020/09/17,04:33:40,0.0018113396363332868,0.5907334089279175,0.0014939000830054283,100,0.0014939000830054283,1.7907458543777466,0.0026751961559057236,100,0.002323338994756341,1.083731770515442,0.0009173320140689611,100,0.0009173320140689611,0.532137930393219,0.0004627904563676566,100
2020/09/17,04:33:50,0.0018113396363332868,1.0894206762313843,0.0014939000830054283,100,0.0014939000830054283,0.5872063040733337,0.0026751961559057236,100,0.002323338994756341,1.9115777015686035,0.0009173320140689611,100,0.0009173320140689611,0.6976843476295471,0.0004627904563676566,100
2020/09/17,04:34:00,0.0018113396363332868,0.5167779326438904,0.0014939000830054283,100,0.0014939000830054283,0.554893434047699,0.0026751961559057236,100,0.002323338994756341,1.623265266418457,0.0009173320140689611,100,0.0009173320140689611,0.6976843476295471,0.0004627904563676566,100
2020/09/17,04:34:10,0.0018113396363332868,0.5250837206840515,0.0014939000830054283,100,0.0014939000830054283,0.8221570253372192,0.0026751961559057236,100,0.002323338994756341,1.623265266418457,0.0009173320140689611,100,0.0009173320140689611,0.6976843476295471,0.0004627904563676566,100
2020/09/17,04:34:20,0.0019384861225262284,0.5593307614326477,0.0031294533982872963,100,0.0031294533982872963,0.8221570253372192,0.0026751961559057236,100,0.002323338994756341,1.623265266418457,0.0009173320140689611,100,0.0009173320140689611,0.9556182026863098,0.0004627904563676566,100
2020/09/17,04:34:30,0.0019384861225262284,0.5220116972923279,0.0031294533982872963,100,0.0031294533982872963,1.112972617149353,0.0026751961559057236,100,0.002323338994756341,1.623265266418457,0.0010097763733938336,100,0.0010097763733938336,0.27113205194473267,0.0004627904563676566,100
2020/09/17,04:34:40,0.0019384861225262284,0.8627756834030151,0.0031294533982872963,100,0.0031294533982872963,0.576738715171814,0.002466983161866665,100,0.0027212761342525482,1.623265266418457,0.0010097763733938336,100,0.0010097763733938336,0.27113205194473267,0.0008342743967659771,100
2020/09/17,04:34:50,0.0019384861225262284,1.7067780494689941,0.0031294533982872963,100,0.0031294533982872963,0.9973745942115784,0.002466983161866665,100,0.0027212761342525482,1.623265266418457,0.0010097763733938336,100,0.0010097763733938336,0.27113205194473267,0.0008342743967659771,100
2020/09/17,04:35:00,0.0019384861225262284,0.5856133699417114,0.0031294533982872963,100,0.0031294533982872963,1.1530224084854126,0.002466983161866665,100,0.0027212761342525482,1.1022775173187256,0.0010097763733938336,100,0.0010097763733938336,1.0101176500320435,0.0008342743967659771,100
2020/09/17,04:35:10,0.0019384861225262284,0.968930184841156,0.0031294533982872963,100,0.0031294533982872963,1.1530224084854126,0.002466983161866665,100,0.0027212761342525482,1.1022775173187256,0.0010097763733938336,100,0.0010097763733938336,1.0101176500320435,0.0008342743967659771,100
2020/09/17,04:35:20,0.001302469288930297,1.2195823192596436,0.0014825223479419947,100,0.0014825223479419947,0.8686921000480652,0.002466983161866665,100,0.0027212761342525482,2.0533447265625,0.0010097763733938336,100,0.0010097763733938336,1.0101176500320435,0.0008342743967659771,100
2020/09/17,04:35:30,0.001302469288930297,0.9950990080833435,0.0014825223479419947,100,0.0014825223479419947,0.8686921000480652,0.002466983161866665,100,0.0027212761342525482,0.7756220102310181,0.0010097763733938336,100,0.0010097763733938336,1.0101176500320435,0.0008342743967659771,100
2020/09/17,04:35:40,0.001302469288930297,0.719984769821167,0.0014825223479419947,100,0.0014825223479419947,0.8686921000480652,0.0024740942753851414,100,0.004063567612320185,0.8300077319145203,0.0010339540895074606,100,0.0010339540895074606,0.32267332077026367,0.0005799814243800938,100
2020/09/17,04:35:50,0.001302469288930297,0.534868597984314,0.0014825223479419947,100,0.0014825223479419947,1.765032172203064,0.0024740942753851414,100,0.004063567612320185,0.9605106115341187,0.0010339540895074606,100,0.0010339540895074606,0.32267332077026367,0.0005799814243800938,100
2020/09/17,04:36:00,0.001302469288930297,0.9866794943809509,0.0014825223479419947,100,0.0014825223479419947,0.6984807848930359,0.0024740942753851414,100,0.004063567612320185,1.4888938665390015,0.0010339540895074606,100,0.0010339540895074606,0.3676154911518097,0.0005799814243800938,100
2020/09/17,04:36:10,0.001302469288930297,0.6787972450256348,0.0014825223479419947,100,0.0014825223479419947,1.284435510635376,0.0024740942753851414,100,0.004063567612320185,2.0252416133880615,0.0010339540895074606,100,0.0010339540895074606,0.4187016189098358,0.0005799814243800938,100
2020/09/17,04:36:20,0.001302469288930297,0.5340721011161804,0.0022428412921726704,100,0.0022428412921726704,0.5500010251998901,0.0024740942753851414,100,0.004063567612320185,0.7768735885620117,0.0010339540895074606,100,0.0010339540895074606,0.4187016189098358,0.0005799814243800938,100
2020/09/17,04:36:30,0.0021885123569518328,1.017285704612732,0.0022428412921726704,100,0.0022428412921726704,0.5500010251998901,0.0024740942753851414,100,0.004063567612320185,4.025224685668945,0.0010339540895074606,100,0.0010339540895074606,0.4187016189098358,0.0005799814243800938,100
