Trend,2020112163.csv,2020/11/22,14:02:43
,TagNo,Description,Unit,Dp
1009,C22_HC_PC_ET,C22 HC800 PREVIOUS CYCLE ELAPSE TIME,,
1010,C22_HC_PROC_UT,C22 HC800 PROCESSOR UTILISATION,,
1011,C30_HC_CC_ET,C30 HC800 CURRENT CYCLE ELAPSE TIME,,
1012,C30_HC_FREETIME,C30 HC800 FREETIME,,
1013,C30_HC_PC_ET,C30 HC800 PREVIOUS CYCLE ELAPSE TIME,,
1014,C30_HC_PROC_UT,C30 HC800 PROCESSOR UTILISATION,,
1015,C32_HC_CC_ET,C32 HC800 CURRENT CYCLE ELAPSE TIME,,
1016,C32_HC_FREETIME,C32 HC800 FREETIME,,
1017,C32_HC_PC_ET,C32 HC800 PREVIOUS CYCLE ELAPSE TIME,,
1018,C32_HC_PROC_UT,C32 HC800 PROCESSOR UTILISATION,,
1019,C40_HC_CC_ET,C40 HC800 CURRENT CYCLE ELAPSE TIME,,
1020,C40_HC_FREETIME,C40 HC800 FREETIME,,
1021,C40_HC_PC_ET,C40 HC800 PREVIOUS CYCLE ELAPSE TIME,,
1022,C40_HC_PROC_UT,C40 HC800 PROCESSOR UTILISATION,,
1023,C50_HC_CC_ET,C50 HC800 CURRENT CYCLE ELAPSE T,,
1024,C50_HC_FREETIME,C50 HC800 FREETIME,,

Date,Time,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024
2020/11/21,05:00:00,0.001921138376928866,1.0096642971038818,0.003305814228951931,100,0.003305814228951931,1.0990936756134033,0.0031149520073086023,100,0.002018702682107687,1.249394178390503,0.000717938004527241,100,0.000717938004527241,0.44088900089263916,0.0006536535220220685,100
2020/11/21,05:00:10,0.001921138376928866,1.045845627784729,0.003305814228951931,100,0.003305814228951931,1.0771344900131226,0.0031149520073086023,100,0.002018702682107687,1.249394178390503,0.000717938004527241,100,0.000717938004527241,0.7694793343544006,0.0006536535220220685,100
2020/11/21,05:00:20,0.002205013995990157,1.0591576099395752,0.003305814228951931,100,0.003305814228951931,1.0771344900131226,0.0031149520073086023,100,0.002018702682107687,0.7476339936256409,0.000717938004527241,100,0.000717938004527241,0.7694793343544006,0.0006536535220220685,100
2020/11/21,05:00:30,0.002205013995990157,1.1014829874038696,0.003305814228951931,100,0.003305814228951931,0.521329939365387,0.00428430363535881,100,0.0037737255915999413,1.759232521057129,0.000717938004527241,100,0.000717938004527241,1.8664112091064453,0.0006536535220220685,100
2020/11/21,05:00:40,0.002205013995990157,0.8512855768203735,0.003305814228951931,100,0.003305814228951931,0.550115704536438,0.00428430363535881,100,0.0037737255915999413,0.754119336605072,0.000717938004527241,100,0.000717938004527241,0.4119894504547119,0.0006536535220220685,100
2020/11/21,05:00:50,0.002205013995990157,0.987250030040741,0.003305814228951931,100,0.003305814228951931,0.550115704536438,0.00428430363535881,100,0.0037737255915999413,0.9553923010826111,0.0009398047113791108,100,0.0009398047113791108,0.4119894504547119,0.0006536535220220685,100
2020/11/21,05:01:00,0.002205013995990157,0.9244447350502014,0.002775040687993169,100,0.002775040687993169,0.8867842555046082,0.00428430363535881,100,0.0037737255915999413,1.695744514465332,0.0009398047113791108,100,0.0009398047113791108,0.5256534814834595,0.0011468803277239203,100
2020/11/21,05:01:10,0.002205013995990157,0.989639401435852,0.002775040687993169,100,0.002775040687993169,0.776078462600708,0.00428430363535881,100,0.0037737255915999413,1.6295257806777954,0.0009398047113791108,100,0.0009398047113791108,0.5525050163269043,0.0011468803277239203,100
2020/11/21,05:01:20,0.002205013995990157,1.1026207208633423,0.002775040687993169,100,0.002775040687993169,1.1240110397338867,0.00428430363535881,100,0.0037737255915999413,1.6295257806777954,0.0009398047113791108,100,0.0009398047113791108,0.5525050163269043,0.0011468803277239203,100
2020/11/21,05:01:30,0.002951111877337098,1.4532840251922607,0.002775040687993169,100,0.002775040687993169,0.6329459547996521,0.0028032008558511734,100,0.0047095478512346745,1.6295257806777954,0.0009398047113791108,100,0.0009398047113791108,0.5288392901420593,0.0011468803277239203,100
2020/11/21,05:01:40,0.002951111877337098,1.0152393579483032,0.002775040687993169,100,0.002775040687993169,0.7169139981269836,0.0028032008558511734,100,0.0047095478512346745,1.6295257806777954,0.0009398047113791108,100,0.0009398047113791108,0.5288392901420593,0.0011468803277239203,100
2020/11/21,05:01:50,0.002951111877337098,0.47581881284713745,0.002775040687993169,100,0.002775040687993169,0.7169139981269836,0.0028032008558511734,100,0.0047095478512346745,1.6295257806777954,0.0006252090679481626,100,0.0006252090679481626,0.5288392901420593,0.0011468803277239203,100
2020/11/21,05:02:00,0.002951111877337098,1.2046794891357422,0.002775040687993169,100,0.002775040687993169,1.3121994733810425,0.0028032008558511734,100,0.0047095478512346745,4.762397766113281,0.0006252090679481626,100,0.0006252090679481626,0.5288392901420593,0.000852480239700526,100
2020/11/21,05:02:10,0.002951111877337098,1.2117336988449097,0.0032452275045216084,100,0.0032452275045216084,1.3121994733810425,0.0028032008558511734,100,0.0047095478512346745,0.8178349137306213,0.0006252090679481626,100,0.0006252090679481626,0.5288392901420593,0.000852480239700526,100
2020/11/21,05:02:20,0.002951111877337098,1.6844804286956787,0.0032452275045216084,100,0.0032452275045216084,1.0899914503097534,0.0028032008558511734,100,0.0047095478512346745,0.987250030040741,0.0006252090679481626,100,0.0006252090679481626,0.5288392901420593,0.000852480239700526,100
2020/11/21,05:02:30,0.0033396631479263306,0.9016891717910767,0.0032452275045216084,100,0.0032452275045216084,1.3214155435562134,0.0031288897152990103,100,0.005193672608584166,2.2198050022125244,0.0006252090679481626,100,0.0006252090679481626,0.45897969603538513,0.000852480239700526,100
2020/11/21,05:02:40,0.0033396631479263306,0.4970952570438385,0.0032452275045216084,100,0.0032452275045216084,1.1779416799545288,0.0031288897152990103,100,0.005193672608584166,0.7200997471809387,0.0006252090679481626,100,0.0006252090679481626,0.45897969603538513,0.000852480239700526,100
2020/11/21,05:02:50,0.0033396631479263306,1.157916784286499,0.0032452275045216084,100,0.0032452275045216084,1.1779416799545288,0.0031288897152990103,100,0.005193672608584166,2.0390121936798096,0.0006252090679481626,100,0.0006252090679481626,0.45897969603538513,0.000852480239700526,100
2020/11/21,05:03:00,0.0033396631479263306,1.182492733001709,0.0032452275045216084,100,0.0032452275045216084,1.1779416799545288,0.0031288897152990103,100,0.005193672608584166,1.2198119163513184,0.001974329352378845,100,0.001974329352378845,0.35999298095703125,0.0006334579666145146,100
2020/11/21,05:03:10,0.0033396631479263306,1.0113708972930908,0.002266169525682926,100,0.002266169525682926,1.1779416799545288,0.0031288897152990103,100,0.005193672608584166,1.2198119163513184,0.001974329352378845,100,0.001974329352378845,0.35999298095703125,0.0006334579666145146,100
2020/11/21,05:03:20,0.0033396631479263306,0.9415113925933838,0.002266169525682926,100,0.002266169525682926,0.9359362721443176,0.0031288897152990103,100,0.005193672608584166,1.2941088676452637,0.001974329352378845,100,0.001974329352378845,0.35999298095703125,0.0006334579666145146,100
2020/11/21,05:03:30,0.0025216008070856333,1.1153638362884521,0.002266169525682926,100,0.002266169525682926,0.9359362721443176,0.0031288897152990103,100,0.005193672608584166,1.2941088676452637,0.001974329352378845,100,0.001974329352378845,0.39731210470199585,0.0006334579666145146,100
2020/11/21,05:03:40,0.0025216008070856333,0.9320678114891052,0.002266169525682926,100,0.002266169525682926,0.9359362721443176,0.0027076273690909147,100,0.004609992261976004,1.2941088676452637,0.001974329352378845,100,0.001974329352378845,0.7401246428489685,0.0006334579666145146,100
2020/11/21,05:03:50,0.0025216008070856333,1.2058172225952148,0.002266169525682926,100,0.002266169525682926,0.6147415041923523,0.0027076273690909147,100,0.004609992261976004,1.2941088676452637,0.001974329352378845,100,0.001974329352378845,0.7401246428489685,0.0006334579666145146,100
2020/11/21,05:04:00,0.0025216008070856333,1.0136464834213257,0.002266169525682926,100,0.002266169525682926,1.1885230541229248,0.0027076273690909147,100,0.004609992261976004,1.604608416557312,0.0020974939689040184,100,0.0020974939689040184,0.5790152549743652,0.00046563567593693733,100
2020/11/21,05:04:10,0.0025216008070856333,0.9102224707603455,0.001366187003441155,100,0.001366187003441155,1.0995488166809082,0.0027076273690909147,100,0.004609992261976004,1.604608416557312,0.0020974939689040184,100,0.0020974939689040184,0.5790152549743652,0.00046563567593693733,100
2020/11/21,05:04:20,0.0025216008070856333,1.4703506231307983,0.001366187003441155,100,0.001366187003441155,1.0995488166809082,0.0027076273690909147,100,0.004609992261976004,1.604608416557312,0.0020974939689040184,100,0.0020974939689040184,0.5790152549743652,0.00046563567593693733,100
2020/11/21,05:04:30,0.0025216008070856333,1.138688325881958,0.001366187003441155,100,0.001366187003441155,1.1168429851531982,0.0027076273690909147,100,0.004609992261976004,1.7081462144851685,0.0020974939689040184,100,0.0020974939689040184,0.5790152549743652,0.00046563567593693733,100
2020/11/21,05:04:40,0.0017689605010673404,1.4365586042404175,0.001366187003441155,100,0.001366187003441155,1.1168429851531982,0.001931378385052085,100,0.003977103158831596,1.0034065246582031,0.0020974939689040184,100,0.0020974939689040184,0.5200783610343933,0.00046563567593693733,100
2020/11/21,05:04:50,0.0017689605010673404,1.4365586042404175,0.001366187003441155,100,0.001366187003441155,1.1168429851531982,0.001931378385052085,100,0.003977103158831596,1.164743423461914,0.0020974939689040184,100,0.0020974939689040184,0.6034774780273438,0.00046563567593693733,100
2020/11/21,05:05:00,0.0017689605010673404,1.1225318908691406,0.001366187003441155,100,0.001366187003441155,2.470343828201294,0.001931378385052085,100,0.003977103158831596,1.5795773267745972,0.0017308449605479836,100,0.0017308449605479836,0.7674313187599182,0.00046563567593693733,100
2020/11/21,05:05:10,0.0017689605010673404,1.348949670791626,0.0026382228825241327,100,0.001366187003441155,1.1958048343658447,0.001931378385052085,100,0.003977103158831596,1.5795773267745972,0.0017308449605479836,100,0.0017308449605479836,0.7309086322784424,0.000617813493590802,100
2020/11/21,05:05:20,0.0017689605010673404,0.47047123312950134,0.0026382228825241327,100,0.0026382228825241327,1.1958048343658447,0.001931378385052085,100,0.003977103158831596,1.5795773267745972,0.0017308449605479836,100,0.0017308449605479836,0.7309086322784424,0.000617813493590802,100
2020/11/21,05:05:30,0.0017689605010673404,0.600860595703125,0.0026382228825241327,100,0.0026382228825241327,1.0250242948532104,0.001931378385052085,100,0.003977103158831596,1.5795773267745972,0.0017308449605479836,100,0.0017308449605479836,0.7309086322784424,0.000617813493590802,100
2020/11/21,05:05:40,0.0026564274448901415,0.7048535346984863,0.0026382228825241327,100,0.0026382228825241327,1.0250242948532104,0.001931378385052085,100,0.003977103158831596,1.5795773267745972,0.0017308449605479836,100,0.0017308449605479836,0.7309086322784424,0.000617813493590802,100
2020/11/21,05:05:50,0.0026564274448901415,0.94936203956604,0.0026382228825241327,100,0.0026382228825241327,1.8261338472366333,0.0018688004929572344,100,0.002317085163667798,1.5795773267745972,0.0017308449605479836,100,0.0017308449605479836,0.7309086322784424,0.000617813493590802,100
