Trend,2020091764.csv,2020/09/18,13:33:11
,TagNo,Description,Unit,Dp
1025,C50_HC_PC_ET,C50 HC800 PREVIOUS CYCLE ELAPSE,,
1026,C50_HC_PROC_UT,C50 HC800 PROCESSOR UTILISATION,,
1027,C60_HC_CC_ET,C60 HC800 CURRENT CYCLE ELAPSE TIME,,
1028,C60_HC_FREETIME,C60 HC800 FREETIME,,
1029,C60_HC_PC_ET,C60 HC800 PREVIOUS CYCLE ELAPSE TIME,,
1030,C60_HC_PROC_UT,C60 HC800 PROCESSOR UTILISATION,,
1031,C70_HC_CC_ET,C70 HC800 CURRENT CYCLE ELAPSE TIME,,
1032,C70_HC_FREETIME,C70 HC800 FREETIME,,
1033,C70_HC_PC_ET,C70 HC800 PREVIOUS CYCLE ELAPSE TIME,,
1034,C70_HC_PROC_UT,C70 HC800 PROCESSOR UTILISATION,,
1035,C80_HC_CC_ET,C80 HC800 CURRENT CYCLE ELAPSE T,,
1036,C80_HC_FREETIME,C80 HC800 FREETIME,,
1037,C80_HC_PC_ET,C80 HC800 PREVIOUS CYCLE ELAPSE,,
1038,C80_HC_PROC_UT,C80 HC800 PROCESSOR UTILISATION,,
1039,C90_HC_CC_ET,C90 HC800 CURRENT CYCLE ELAPSE TIME,,
1040,C90_HC_FREETIME,C90 HC800 FREETIME,,

Date,Time,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1037,1038,1039,1040
2020/09/17,04:30:00,0.0005327636608853936,0.25952672958374023,0.0016366910422220826,100,0.0016824865015223622,1.3912726640701294,0.001069225138053298,100,0.001976032741367817,0.45943400263786316,0.0016585931880399585,100,0.0016585931880399585,0.40652742981910706,0.0012393227079883218,100
2020/09/17,04:30:10,0.0005327636608853936,0.25952672958374023,0.0016366910422220826,100,0.0016824865015223622,1.3428034782409668,0.0008979898411780596,100,0.0030256311874836683,0.4873095154762268,0.0016585931880399585,100,0.0016585931880399585,0.40652742981910706,0.0012393227079883218,100
2020/09/17,04:30:20,0.0005327636608853936,0.25952672958374023,0.0016366910422220826,100,0.0016824865015223622,1.489121437072754,0.0008979898411780596,100,0.0030256311874836683,0.357716828584671,0.0016585931880399585,100,0.0016585931880399585,0.40652742981910706,0.0012393227079883218,100
2020/09/17,04:30:30,0.0008376876940019429,0.25952672958374023,0.0016366910422220826,100,0.0016824865015223622,0.7990602254867554,0.0008979898411780596,100,0.0030256311874836683,0.40459319949150085,0.0016585931880399585,100,0.0016585931880399585,0.2437116503715515,0.001365331350825727,100
2020/09/17,04:30:40,0.0008376876940019429,0.25952672958374023,0.002249383367598057,100,0.001675944309681654,1.5333809852600098,0.0008979898411780596,100,0.0030256311874836683,0.5775351524353027,0.0016585931880399585,100,0.0016585931880399585,0.40743765234947205,0.001365331350825727,100
2020/09/17,04:30:50,0.0008376876940019429,0.3248350918292999,0.002249383367598057,100,0.001675944309681654,0.8992982506752014,0.0008979898411780596,100,0.0030256311874836683,0.5775351524353027,0.0006601946079172194,100,0.0006601946079172194,0.3528243899345398,0.001365331350825727,100
2020/09/17,04:31:00,0.0008376876940019429,0.3248350918292999,0.002249383367598057,100,0.001675944309681654,1.2198097705841064,0.0008979898411780596,100,0.0030256311874836683,1.0749709606170654,0.0006601946079172194,100,0.0006601946079172194,2.4226667881011963,0.001365331350825727,100
2020/09/17,04:31:10,0.0008376876940019429,0.3248350918292999,0.002249383367598057,100,0.001675944309681654,0.9283115863800049,0.0014700067695230246,100,0.0021034637466073036,1.0749709606170654,0.0006601946079172194,100,0.0006601946079172194,0.48651307821273804,0.001365331350825727,100
2020/09/17,04:31:20,0.0008376876940019429,0.3248350918292999,0.002249383367598057,100,0.001675944309681654,1.4124352931976318,0.0014700067695230246,100,0.0021034637466073036,1.0749709606170654,0.0006601946079172194,100,0.0006601946079172194,0.25622719526290894,0.001365331350825727,100
2020/09/17,04:31:30,0.0007776700076647103,0.3248350918292999,0.002249383367598057,100,0.001675944309681654,0.8270494937896729,0.0014700067695230246,100,0.0021034637466073036,0.46239224076271057,0.0006601946079172194,100,0.0006601946079172194,0.25622719526290894,0.0014051535399630666,100
2020/09/17,04:31:40,0.0007776700076647103,0.3248350918292999,0.0030020223930478096,100,0.0021191081032156944,1.0507363080978394,0.0014700067695230246,100,0.0021034637466073036,0.46239224076271057,0.0006601946079172194,100,0.0006601946079172194,0.25622719526290894,0.0014051535399630666,100
2020/09/17,04:31:50,0.0007776700076647103,0.3248350918292999,0.0030020223930478096,100,0.0021191081032156944,1.0507363080978394,0.0014700067695230246,100,0.0021034637466073036,0.46239224076271057,0.000641136837657541,100,0.000641136837657541,0.25622719526290894,0.0014051535399630666,100
2020/09/17,04:32:00,0.0007776700076647103,0.23677122592926025,0.0030020223930478096,100,0.0021191081032156944,2.7234947681427,0.0014700067695230246,100,0.0021034637466073036,0.4243904948234558,0.000641136837657541,100,0.000641136837657541,0.25622719526290894,0.0014051535399630666,100
2020/09/17,04:32:10,0.0007776700076647103,0.23677122592926025,0.0030020223930478096,100,0.0021191081032156944,1.588449239730835,0.000864425441250205,100,0.004793166648596525,0.5255388021469116,0.000641136837657541,100,0.000641136837657541,0.2961631417274475,0.0014051535399630666,100
